printed,"upc",brand,description,size
0,"0410002000715",Marc Anthony,Mens Dark-Gray Quarter-Zip Slim-Fit Pull-Over,M
0,"0410002000722",George,Mens Gray Long-Sleeve Full-Zip Drawstring-Collar Sweatshirt,XL
0,"0410002000852",Double Zero,Womens Cream Sleeveless V-Neck Button-Down Shirt,S
0,"0410002000739",Hang Ten,Mens Long-Sleeve Full-Zip Drawstring-Collar Drawstring-Hem Windbreaker,2XL
0,"0410002000746",Dickies,Mens Brown Short-Sleeve T-Shirt,2XL
0,"0410002000753",Haggar,Mens Tan Business Button Clip Dress Pants,36″
0,"0410002000760",Banana Republic,Womens Black Knit Top,XS
0,"0410002000777",H&M,Mens Light-Blue Long-Sleeve Collared Two-Button-Cuff Two-Button-Cuff Slim-Fit Fitted-Shirt,M
0,"0410002000784",Go Jeans,Womens One-Quarter-Sleeve Scoop-Neck Slim-Fit T-Shirt,L
0,"0410002000791",Old Navy,Womens White Short-Sleeve V-Neck Drawstring Tunic,M
0,"0410002000807",Vintage South Pole,Mens Black Short-Sleeve Y2K Signature Series T-Shirt,2XL
0,"0410002000814",Mens Black Short-Sleeve Classic-Collar BRWL-0055 Polo,M
0,"0410002000821",Alfani,Womens Black Three-Quarter-Sleeve V-Neck Half-Placket Button-Down,XS
0,"0410002000830",Rock & Republic,Mens Short-Sleeve Button-Down Shirt,L
0,"0410002000845",Catherine Malandrino,Womens Black/White Pull-On Sweater,M
