printed,"upc",brand,description,size
0,"00410002000470",Gymboree,Girls Pink T-Shirt,M (7-8)
0,"00410002000487",Speedo,Womens Black/White One-Piece Swimwear,26ch 23long
0,"00410002000490",Metal Mulisha,Mens Graphic Cream Board Shorts,28x22
0,"00410002000500",Gotham,Womens Light Green Nightgown,40
0,"00410002000517",Hanes,Womens Navy Blue Short-Sleeve Graphic T-Shirt "Unathletic",L
0,"00410002000520",Occasion,Womens Burgundy "Love 85" Short-Sleeve T-Shirt,S
0,"00410002000531",White Stag,Womens Black Vest,XL (16-18)
0,"00410002000548",Faded Glory,Womens Blue/White Sleeveless Knitted Top,XL
0,"00410002000555",Hollister,Womens Maroon Long-Sleeve T-Shirt,S
0,"00410002000562",Rue Rock,Womens Black/White Long-Sleeve Full-Zip Sweater,XL
0,"00410002000579",iTong,Womens Beige Camisole,One Size
0,"00410002000586",Fried Denim,Mens White Slim Fit Jeans,32x32
